type,Date,Price
gas,2019-01,3.11
gas,2019-02,2.69
gas,2019-03,2.95
gas,2019-04,2.65
gas,2019-05,2.64
gas,2019-06,2.4
gas,2019-07,2.37
gas,2019-08,2.22
gas,2019-09,2.56
gas,2019-10,2.33
gas,2019-11,2.65
gas,2019-12,2.22
gas,2020-01,2.02
gas,2020-02,1.91
gas,2020-03,1.79
gas,2020-04,1.74
gas,2020-05,1.75
gas,2020-06,1.63
gas,2020-07,1.77
gas,2020-08,2.3
